climate,image_file,image_path,rank_in_image,hex,r,g,b,hue_deg,hue_bucket,sat_pct,val_pct,lightness_pct,temp_bin,is_neutral_low_sat,percent_in_image,pixel_count
finland_nature_clean,Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-7.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-7.jpg,3,#917968,145,121,104,24.88,orange,28.28,56.86,48.82,warm,False,23.8355,47590
finland_nature_clean,Svedjehamnin_näkötorni_04.06.2016.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Svedjehamnin_näkötorni_04.06.2016.jpg,1,#514F2B,81,79,43,56.84,yellow,46.91,31.76,24.31,warm,False,57.6333,115089
finland_nature_clean,Svedjehamnin_näkötorni_04.06.2016.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Svedjehamnin_näkötorni_04.06.2016.jpg,2,#A2AAB8,162,170,184,218.18,cyan-blue,11.96,72.16,67.84,neutral,True,39.5975,79073
finland_nature_clean,Svedjehamnin_näkötorni_04.06.2016.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Svedjehamnin_näkötorni_04.06.2016.jpg,3,#629CD5,98,156,213,209.74,cyan-blue,53.99,83.53,60.98,cool,False,2.7693,5530
finland_nature_clean,clear-cutting_site-luke_report.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /clear-cutting_site-luke_report.jpg,1,#43392C,67,57,44,33.91,orange,34.33,26.27,21.76,warm,False,97.4165,194533
finland_nature_clean,clear-cutting_site-luke_report.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /clear-cutting_site-luke_report.jpg,2,#F2F4F6,242,244,246,210.0,cyan-blue,1.63,96.47,95.69,neutral,True,2.5835,5159
finland_nature_clean,evergreen-forest-was-full-of-fog-taken-in-central-finland-v0-wm6aij18clw41.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /evergreen-forest-was-full-of-fog-taken-in-central-finland-v0-wm6aij18clw41.webp,1,#343D3E,52,61,62,186.0,cyan,16.13,24.31,22.35,cool,False,76.8516,153438
finland_nature_clean,evergreen-forest-was-full-of-fog-taken-in-central-finland-v0-wm6aij18clw41.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /evergreen-forest-was-full-of-fog-taken-in-central-finland-v0-wm6aij18clw41.webp,2,#969BA3,150,155,163,216.92,cyan-blue,7.98,63.92,61.37,neutral,True,23.1484,46217
finland_nature_clean,images (3).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (3).jpeg,1,#899FD4,137,159,212,222.4,cyan-blue,35.38,83.14,68.43,cool,False,61.0647,30845
finland_nature_clean,images (3).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (3).jpeg,2,#D6B7C9,214,183,201,325.16,magenta,14.49,83.92,77.84,cool,False,38.9353,19667
finland_nature_clean,images (4).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (4).jpeg,1,#4A301A,74,48,26,27.5,orange,64.86,29.02,19.61,warm,False,63.8075,32159
finland_nature_clean,images (4).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (4).jpeg,2,#EDB768,237,183,104,35.64,orange,56.12,92.94,66.86,warm,False,36.1925,18241
finland_nature_clean,images (5).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (5).jpeg,1,#CFCDD8,207,205,216,250.91,blue,5.09,84.71,82.55,neutral,True,49.4112,24838
